STT,Câu hỏi,Phân loại,Trả lời,VD thực tế trả lời đã được duyệt,,,,,,,,,,,,,,,
,First Name,Bắt buộc,Tên,Dat,,,,,,,,,,,,,,,
,Last Name,Bắt buộc,Họ,Tran Quy,,,,,,,,,,,,,,,
,Email,Bắt buộc,Email,,,,,,,,,,,,,,,,
,Email Confirmation,Bắt buộc,Mã xác nhận từ email,,,,,,,,,,,,,,,,
,Phone Number,Bắt buộc,Số điện thoại ,,,,,,,,,,,,,,,,
,Legal Enity Type,Bắt buộc,Chọn câu trả lời có sẵn ,,,,,,,,,,,,,,,,
,Name,Bắt buộc,Họ tên ,Nguyen Thi Loan,,,,,,,,,,,,,,,
,Address,Bắt buộc,Địa chỉ cụ thể ,,,,,,,,,,,,,,,,
,"Apartment, suite, etc.",Không bắt buộc,,,,,,,,,,,,,,,,,
,Country,Bắt buộc,Quốc gia ,Vietnam ,,,,,,,,,,,,,,,
,City,Bắt buộc,Tên thành phố,Thanh Hoa,,,,,,,,,,,,,,,
,ZIP/Postal Code,Bắt buộc,Mã bưu điện ,44000,,,,,,,,,,,,,,,
,Tax ID / VAT or SSN,Không bắt buộc,Điền mã số thuế ,,,,,,,,,,,,,,,,
,Your Telegram username,Bắt buộc,Tên Telegram,@wdyy1911,,,,,,,,,,,,,,,
,Your LinkedIn Profile URL,Bắt buộc,Link liên kết LinkedIn của mình,,,,,,,,,,,,,,,,
,What's your biggest traffic source?,Bắt buộc,"Chọn câu trả lời có sẵn (Thường sẽ chọn PPC, Social Media, Meta Ads)",,,,,,,,,,,,,,,,
,Which vertical is your main focus?,Bắt buộc,Chọn câu trả lời có sẵn (chọn các lĩnh vực gần với dự án mình đang đăng kí),,,,,,,,,,,,,,,,
,Which countries do you send your traffic to?,Bắt buộc,"I will focus on all countries worldwide; if there are any specific regions you'd like to target, please let me know.",,,,,,,,,,,,,,,,
,What are some offer names you're running now?,Bắt buộc,I have experience collaborating with companies such as: (kể tên các dự án tương tự trong cùng lĩnh vực),,,,,,,,,,,,,,,,
,Which affiliate companies do you work with?,Bắt buộc,"I have experience working with affiliated companies such as Impact, CJ, Rewardful, Tolt,...",,,,,,,,,,,,,,,,
,What's your payout range from all companies?,Bắt buộc,"Chọn câu trả lời có sẵn ( Nên chọn các mức 1k-5k hoặc 5k-10k, mức thấp sẽ đáng tin hơn, mức cao sẽ dễ bị check hơn)",,,,,,,,,,,,,,,,
,Are you active on internet marketing forums?,Bắt buộc,"Yes, I’m active in affiliate and media buying communities",,,,,,,,,,,,,,,,
,How did you find us?,Bắt buộc,Through industry recommendations and affiliate communities.,,,,,,,,,,,,,,,,
,Describe the sites and methods used to advertise,Bắt buộc,"I use Google Ads, SEO websites, social media marketing, and native ads to promote finance and trading offers. Traffic is generated through content websites, comparison pages, and targeted paid advertising campaigns focused on high-quality user acquisition.",,,,,,,,,,,,,,,,
,Average Monthly Volume,Bắt buộc,50-100 qualified leads per month with scalable traffic potential.,,,,,,,,,,,,,,,,
,Traffic Types,Bắt buộc,"SEO, Google Ads, Social Media Marketing, Email Marketing, Trading Communities, Native Ads, and Content Marketing",,,,,,,,,,,,,,,,
,Preferred Offers,Bắt buộc,,,,,,,,,,,,,,,,,
,Payment Terms,Bắt buộc,Net-15 or Net-30 preferred. Open to standard network payment terms,,,,,,,,,,,,,,,,
